NAME OF COMPANY, DATE OF LISTING,SYMBOL, SERIES, ISIN NUMBER, PAID UP VALUE, MARKET LOT, FACE VALUE
Wendt (India) Limited,7-Aug-06,WENDT,EQ,INE274C01019,10,1,10
Wheels India Limited,7-Apr-00,WHEELS,EQ,INE715A01015,10,1,10
Whirlpool of India Limited,6-Apr-10,WHIRLPOOL,EQ,INE716A01013,10,1,10
Williamson Magor & Company Limited,8-Feb-95,WILLAMAGOR,EQ,INE210A01017,10,1,10
Windsor Machines Limited,17-Aug-11,WINDMACHIN,EQ,INE052A01021,2,1,2
Winsome Yarns Limited,25-Aug-11,WINSOME,BE,INE784B01035,10,1,10
The Western India Plywoods Limited,17-Apr-17,WIPL,BE,INE215F01023,10,1,10
Wipro Limited,8-Nov-95,WIPRO,EQ,INE075A01022,2,1,2
Wockhardt Limited,23-Feb-00,WOCKPHARMA,EQ,INE049B01025,5,1,5
Wonderla Holidays Limited,9-May-14,WONDERLA,EQ,INE066O01014,10,1,10
W S Industries (I) Limited,1-Aug-07,WSI,BE,INE100D01014,10,1,10
West Coast Paper Mills Limited,17-Jan-01,WSTCSTPAPR,EQ,INE976A01021,2,1,2
Xchanging Solutions Limited,9-Mar-05,XCHANGING,EQ,INE692G01013,10,1,10
XL Energy Limited,28-Dec-06,XLENERGY,BE,INE183H01011,10,1,10
Xpro India Limited,27-Apr-04,XPROINDIA,EQ,INE445C01015,10,1,10
Yes Bank Limited,12-Jul-05,YESBANK,EQ,INE528G01027,2,1,2
Zee Entertainment Enterprises Limited,9-Sep-98,ZEEL,EQ,INE256A01028,1,1,1
Zee Learn Limited,20-Dec-10,ZEELEARN,EQ,INE565L01011,1,1,1
Zee Media Corporation Limited,10-Jan-07,ZEEMEDIA,EQ,INE966H01019,1,1,1
Zenith Birla (India) Limited,30-Apr-07,ZENITHBIR,BE,INE318D01020,10,1,10
Zenith Exports Limited,10-Jul-96,ZENITHEXPO,BE,INE058B01018,10,1,10
Zensar Technologies Limited,9-Jul-03,ZENSARTECH,EQ,INE520A01027,2,1,2
Zen Technologies Limited,30-Mar-15,ZENTEC,EQ,INE251B01027,1,1,1
Zicom Electronic Security Systems Limited,18-Apr-06,ZICOM,EQ,INE871B01014,10,1,10
Zodiac Clothing Company Limited,27-Sep-95,ZODIACLOTH,EQ,INE206B01013,10,1,10
Zodiac JRD- MKJ Limited,19-Jul-95,ZODJRDMKJ,EQ,INE077B01018,10,1,10
Zuari Agro Chemicals Limited,27-Nov-12,ZUARI,EQ,INE840M01016,10,1,10
Zuari Global Limited,12-Apr-95,ZUARIGLOB,EQ,INE217A01012,10,1,10
Zydus Wellness Limited,13-Nov-09,ZYDUSWELL,EQ,INE768C01010,10,1,10
Zylog Systems Limited,17-Aug-07,ZYLOG,BE,INE225I01026,5,1,5
